date,usd_krw,kr_base_rate,us_base_rate,rate_diff
2022-05-17,1281.6,1.5,2.9679999351501465,-1.4679999351501465
2022-05-18,1277.2,1.5,2.885999917984009,-1.3859999179840088
2022-05-19,1269.3,1.5,2.8550000190734863,-1.3550000190734863
2022-05-20,1274.6,1.5,2.7869999408721924,-1.2869999408721924
2022-05-23,1269.5,1.5,2.8589999675750732,-1.3589999675750732
2022-05-24,1267.7,1.5,2.759999990463257,-1.2599999904632568
2022-05-25,1264.3,1.5,2.749000072479248,-1.249000072479248
2022-05-26,1263.3,1.75,2.75600004196167,-1.00600004196167
2022-05-27,1266.4,1.75,2.743000030517578,-0.9930000305175781
2022-05-30,1256.9,1.75,2.743000030517578,-0.9930000305175781
2022-05-31,1245.8,1.75,2.8440001010894775,-1.0940001010894775
2022-06-02,1238.4,1.75,2.9130001068115234,-1.1630001068115234
2022-06-03,1251.2,1.75,2.9570000171661377,-1.2070000171661377
2022-06-07,1241.1,1.75,2.9719998836517334,-1.2219998836517334
2022-06-08,1257.1,1.75,3.0290000438690186,-1.2790000438690186
2022-06-09,1255.4,1.75,3.0439999103546143,-1.2939999103546143
2022-06-10,1257.6,1.75,3.1559998989105225,-1.4059998989105225
2022-06-13,1266.0,1.75,3.365999937057495,-1.6159999370574951
2022-06-14,1286.0,1.75,3.4830000400543213,-1.7330000400543213
2022-06-15,1289.7,1.75,3.3949999809265137,-1.6449999809265137
2022-06-16,1291.3,1.75,3.306999921798706,-1.556999921798706
2022-06-17,1284.1,1.75,3.239000082015991,-1.4890000820159912
2022-06-20,1287.5,1.75,3.239000082015991,-1.4890000820159912
2022-06-21,1291.7,1.75,3.306999921798706,-1.556999921798706
2022-06-22,1290.6,1.75,3.1559998989105225,-1.4059998989105225
2022-06-23,1295.7,1.75,3.068000078201294,-1.318000078201294
2022-06-24,1300.7,1.75,3.125,-1.375
2022-06-27,1299.4,1.75,3.194000005722046,-1.444000005722046
2022-06-28,1285.6,1.75,3.2060000896453857,-1.4560000896453857
2022-06-29,1284.9,1.75,3.0929999351501465,-1.3429999351501465
2022-06-30,1292.9,1.75,2.9719998836517334,-1.2219998836517334
2022-07-01,1299.8,1.75,2.8889999389648438,-1.1389999389648438
2022-07-04,1294.2,1.75,2.8889999389648438,-1.1389999389648438
2022-07-05,1297.9,1.75,2.809000015258789,-1.059000015258789
2022-07-06,1298.0,1.75,2.9130001068115234,-1.1630001068115234
2022-07-07,1307.4,1.75,3.007999897003174,-1.2579998970031738
2022-07-08,1302.7,1.75,3.1010000705718994,-1.3510000705718994
2022-07-11,1299.3,1.75,2.990999937057495,-1.2409999370574951
2022-07-12,1300.6,1.75,2.9579999446868896,-1.2079999446868896
2022-07-13,1312.9,2.25,2.9040000438690186,-0.6540000438690186
2022-07-14,1305.9,2.25,2.9600000381469727,-0.7100000381469727
2022-07-15,1310.0,2.25,2.930000066757202,-0.6800000667572021
2022-07-18,1323.7,2.25,2.9600000381469727,-0.7100000381469727
2022-07-19,1317.8,2.25,3.0190000534057617,-0.7690000534057617
2022-07-20,1314.9,2.25,3.0360000133514404,-0.7860000133514404
2022-07-21,1308.6,2.25,2.9100000858306885,-0.6600000858306885
2022-07-22,1312.1,2.25,2.7829999923706055,-0.5329999923706055
2022-07-25,1311.7,2.25,2.819999933242798,-0.5699999332427979
2022-07-26,1311.0,2.25,2.7869999408721924,-0.5369999408721924
2022-07-27,1310.0,2.25,2.7339999675750732,-0.48399996757507324
2022-07-28,1312.8,2.25,2.680999994277954,-0.4309999942779541
2022-07-29,1304.0,2.25,2.6419999599456787,-0.3919999599456787
2022-08-01,1298.6,2.25,2.6059999465942383,-0.3559999465942383
2022-08-02,1306.4,2.25,2.740999937057495,-0.4909999370574951
2022-08-03,1307.2,2.25,2.747999906539917,-0.497999906539917
2022-08-04,1310.5,2.25,2.6760001182556152,-0.42600011825561523
2022-08-05,1309.7,2.25,2.8399999141693115,-0.5899999141693115
2022-08-08,1299.3,2.25,2.765000104904175,-0.5150001049041748
2022-08-09,1304.8,2.25,2.796999931335449,-0.5469999313354492
2022-08-10,1305.1,2.25,2.7860000133514404,-0.5360000133514404
2022-08-11,1309.1,2.25,2.888000011444092,-0.6380000114440918
2022-08-12,1302.5,2.25,2.8489999771118164,-0.5989999771118164
2022-08-16,1303.1,2.25,2.8239998817443848,-0.5739998817443848
2022-08-17,1309.6,2.25,2.8929998874664307,-0.6429998874664307
2022-08-18,1309.8,2.25,2.880000114440918,-0.630000114440918
2022-08-19,1317.3,2.25,2.989000082015991,-0.7390000820159912
2022-08-22,1326.7,2.25,3.0369999408721924,-0.7869999408721924
2022-08-23,1338.2,2.25,3.053999900817871,-0.8039999008178711
2022-08-24,1341.8,2.25,3.1059999465942383,-0.8559999465942383
2022-08-25,1341.4,2.5,3.0260000228881836,-0.5260000228881836
2022-08-26,1336.9,2.5,3.0350000858306885,-0.5350000858306885
2022-08-29,1332.5,2.5,3.109999895095825,-0.6099998950958252
2022-08-30,1347.7,2.5,3.109999895095825,-0.6099998950958252
2022-08-31,1347.5,2.5,3.132999897003174,-0.6329998970031738
2022-09-01,1345.1,2.5,3.265000104904175,-0.7650001049041748
2022-09-02,1351.4,2.5,3.193000078201294,-0.693000078201294
2022-09-05,1356.5,2.5,3.193000078201294,-0.693000078201294
2022-09-06,1369.7,2.5,3.3399999141693115,-0.8399999141693115
2022-09-07,1370.3,2.5,3.265000104904175,-0.7650001049041748
2022-09-08,1385.3,2.5,3.2920000553131104,-0.7920000553131104
2022-09-13,1381.2,2.5,3.421999931335449,-0.9219999313354492
2022-09-14,1374.8,2.5,3.4119999408721924,-0.9119999408721924
2022-09-15,1391.7,2.5,3.4590001106262207,-0.9590001106262207
2022-09-16,1394.2,2.5,3.447999954223633,-0.9479999542236328
2022-09-19,1394.2,2.5,3.490000009536743,-0.9900000095367432
2022-09-20,1390.1,2.5,3.571000099182129,-1.071000099182129
2022-09-21,1389.1,2.5,3.509999990463257,-1.0099999904632568
2022-09-22,1393.6,2.5,3.7079999446868896,-1.2079999446868896
2022-09-23,1408.0,2.5,3.697000026702881,-1.1970000267028809
2022-09-26,1408.4,2.5,3.878000020980835,-1.378000020980835
2022-09-27,1429.7,2.5,3.9639999866485596,-1.4639999866485596
2022-09-28,1427.2,2.5,3.7049999237060547,-1.2049999237060547
2022-09-29,1436.5,2.5,3.746999979019165,-1.246999979019165
2022-09-30,1434.8,2.5,3.803999900817871,-1.303999900817871
2022-10-04,1432.1,2.5,3.617000102996826,-1.1170001029968262
2022-10-05,1431.2,2.5,3.759000062942505,-1.2590000629425049
2022-10-06,1419.1,2.5,3.8259999752044678,-1.3259999752044678
2022-10-07,1404.2,2.5,3.882999897003174,-1.3829998970031738
2022-10-11,1410.3,2.5,3.938999891281128,-1.438999891281128
2022-10-12,1433.5,3.0,3.9019999504089355,-0.9019999504089355
2022-10-13,1430.4,3.0,3.9519999027252197,-0.9519999027252197
2022-10-14,1427.0,3.0,4.010000228881836,-1.010000228881836
2022-10-17,1428.9,3.0,4.014999866485596,-1.0149998664855957
2022-10-18,1436.6,3.0,3.997999906539917,-0.997999906539917
2022-10-19,1425.6,3.0,4.126999855041504,-1.126999855041504
2022-10-20,1420.6,3.0,4.22599983215332,-1.2259998321533203
2022-10-21,1431.7,3.0,4.2129998207092285,-1.2129998207092285
2022-10-24,1436.6,3.0,4.234000205993652,-1.2340002059936523
2022-10-25,1436.6,3.0,4.107999801635742,-1.1079998016357422
2022-10-26,1436.5,3.0,4.014999866485596,-1.0149998664855957
2022-10-27,1428.2,3.0,3.937000036239624,-0.937000036239624
2022-10-28,1418.1,3.0,4.010000228881836,-1.010000228881836
2022-10-31,1419.3,3.0,4.077000141143799,-1.0770001411437988
2022-11-01,1422.2,3.0,4.052000045776367,-1.0520000457763672
2022-11-02,1421.7,3.0,4.059000015258789,-1.059000015258789
2022-11-03,1418.0,3.0,4.124000072479248,-1.124000072479248
2022-11-04,1422.1,3.0,4.156000137329102,-1.1560001373291016
2022-11-07,1422.4,3.0,4.214000225067139,-1.2140002250671387
2022-11-08,1406.5,3.0,4.125999927520752,-1.125999927520752
2022-11-09,1387.3,3.0,4.151000022888184,-1.1510000228881836
2022-11-10,1368.3,3.0,3.8289999961853027,-0.8289999961853027
2022-11-11,1370.1,3.0,3.812999963760376,-0.812999963760376
2022-11-14,1334.1,3.0,3.865000009536743,-0.8650000095367432
2022-11-15,1320.3,3.0,3.7990000247955322,-0.7990000247955322
2022-11-16,1322.4,3.0,3.691999912261963,-0.6919999122619629
2022-11-17,1325.6,3.0,3.7750000953674316,-0.7750000953674316
2022-11-18,1338.4,3.0,3.818000078201294,-0.818000078201294
2022-11-21,1340.0,3.0,3.825000047683716,-0.8250000476837158
